"","number.of.adults","number.of.children","number.of.weekend.nights","number.of.week.nights","type.of.meal","car.parking.space","room.type","lead.time","market.segment.type","repeated","P.C","P.not.C","average.price","special.requests","booking.status","reservation_month","reservation_day","reservation_weekday"
"1",1,1,2,5,"Meal Plan 1",0,"Room_Type 1",224,"Offline",0,0,0,88,0,0,"10","02","Friday"
"2",1,0,1,3,"Not Selected",0,"Room_Type 1",5,"Online",0,0,0,106.68,1,0,"11","06","Tuesday"
"3",2,1,1,3,"Meal Plan 1",0,"Room_Type 1",1,"Online",0,0,0,50,0,1,"02","28","Wednesday"
"4",1,0,0,2,"Meal Plan 1",0,"Room_Type 1",211,"Online",0,0,0,100,1,1,"05","20","Saturday"
"5",1,0,1,2,"Not Selected",0,"Room_Type 1",48,"Online",0,0,0,77,0,1,"04","11","Wednesday"
"6",1,0,0,2,"Meal Plan 2",0,"Room_Type 1",346,"Offline",0,0,0,100,1,1,"09","13","Tuesday"
"7",1,1,1,4,"Meal Plan 1",0,"Room_Type 1",34,"Online",0,0,0,107.55,1,0,"10","15","Sunday"
"8",3,0,1,3,"Meal Plan 1",0,"Room_Type 4",83,"Online",0,0,0,105.61,1,0,"12","26","Wednesday"
"9",1,1,0,4,"Meal Plan 1",0,"Room_Type 1",121,"Offline",0,0,0,96.9,1,0,"07","06","Friday"
"10",2,0,0,5,"Meal Plan 1",0,"Room_Type 4",44,"Online",0,0,0,133.44,3,0,"10","18","Thursday"
"11",1,0,1,0,"Not Selected",0,"Room_Type 1",0,"Online",0,0,0,85.03,0,0,"09","11","Tuesday"
"12",1,0,2,1,"Meal Plan 1",0,"Room_Type 4",35,"Online",0,0,0,140.4,1,0,"04","30","Monday"
"13",2,0,2,1,"Not Selected",0,"Room_Type 1",30,"Online",0,0,0,88,0,1,"11","26","Monday"
"14",1,0,2,0,"Meal Plan 1",0,"Room_Type 1",95,"Online",0,0,0,90,2,1,"11","20","Tuesday"
"15",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",47,"Online",0,0,0,94.5,2,0,"10","20","Friday"
"16",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",256,"Online",0,0,0,115,1,1,"06","15","Friday"
"17",1,0,1,0,"Meal Plan 1",0,"Room_Type 1",0,"Offline",0,0,0,96,0,0,"10","05","Thursday"
"18",2,0,1,3,"Not Selected",0,"Room_Type 1",1,"Online",0,0,0,96,1,0,"08","10","Thursday"
"19",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",99,"Online",0,0,0,65,0,1,"10","30","Monday"
"20",2,0,1,0,"Meal Plan 1",0,"Room_Type 1",12,"Offline",0,0,0,72,0,0,"10","04","Wednesday"
"21",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",99,"Online",0,0,0,65,0,1,"10","30","Monday"
"22",1,0,0,1,"Meal Plan 1",0,"Room_Type 1",122,"Corporate",0,0,0,67,0,0,"11","25","Sunday"
"23",2,0,2,4,"Meal Plan 1",0,"Room_Type 1",2,"Offline",0,0,0,85,0,0,"03","20","Tuesday"
"24",2,0,0,3,"Meal Plan 1",0,"Room_Type 1",37,"Offline",0,0,0,105,0,0,"10","13","Saturday"
"25",2,0,2,1,"Not Selected",0,"Room_Type 1",130,"Online",0,0,0,94.5,1,0,"05","22","Tuesday"
"26",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",99,"Online",0,0,0,114.3,1,0,"04","28","Saturday"
"27",2,0,1,1,"Meal Plan 1",0,"Room_Type 1",60,"Offline",0,0,0,65,0,0,"09","21","Thursday"
"28",1,0,0,2,"Meal Plan 1",0,"Room_Type 4",2,"Aviation",0,0,0,110,0,1,"05","19","Saturday"
"29",1,0,1,2,"Meal Plan 1",0,"Room_Type 1",37,"Online",0,0,0,37.33,0,1,"11","06","Monday"
"30",2,0,0,2,"Meal Plan 2",0,"Room_Type 1",56,"Offline",0,0,0,82,0,0,"09","17","Sunday"
"31",2,0,1,1,"Meal Plan 1",0,"Room_Type 4",3,"Online",0,0,0,177.5,1,0,"09","19","Tuesday"
"32",2,0,2,2,"Meal Plan 1",0,"Room_Type 1",107,"Online",0,0,0,87.5,1,0,"11","13","Tuesday"
"33",0,2,0,3,"Meal Plan 1",0,"Room_Type 2",56,"Online",0,0,0,82.44,1,0,"12","07","Friday"
"34",2,0,0,1,"Not Selected",0,"Room_Type 1",2,"Online",0,0,0,69.5,1,0,"01","09","Tuesday"
"35",2,0,0,2,"Meal Plan 1",0,"Room_Type 1",72,"Offline",0,0,0,85.5,0,0,"10","07","Sunday"
"36",2,0,0,1,"Not Selected",1,"Room_Type 1",23,"Online",0,0,0,115,1,0,"04","27","Friday"
"37",1,0,2,1,"Meal Plan 1",0,"Room_Type 1",34,"Online",0,0,0,81,0,1,"06","19","Tuesday"
"38",2,0,0,1,"Meal Plan 1",0,"Room_Type 1",289,"Offline",0,0,0,67,0,0,"10","17","Tuesday"
